Snow Course Name, Number, Elev. metres, Date of Survey, Snow Depth cm, Water Equiv. mm, Survey Code, % of Normal, Density %, Survey Period, Normal mm
BRALORNE,1C14,1389,2017-01-04,36,70,,86,19,01-Jan,81
BRALORNE,1C14,1389,2017-01-30,38,92,,74,24,01-Feb,125
BRALORNE,1C14,1389,2017-02-27,66,169,,113,26,01-Mar,149
BRALORNE,1C14,1389,2017-03-30,72,241,,158,33,01-Apr,153
BRALORNE,1C14,1389,2017-04-28,49,161,,278,33,01-May,58
MOUNT TIMOTHY,1C17,1660,2017-01-02,55,90,,56,16,01-Jan,160
MOUNT TIMOTHY,1C17,1660,2017-01-28,65,160,,72,25,01-Feb,221
MOUNT TIMOTHY,1C17,1660,2017-03-01,79,181,,68,23,01-Mar,266
MOUNT TIMOTHY,1C17,1660,2017-03-30,87,237,,80,27,01-Apr,296
MOUNT TIMOTHY,1C17,1660,2017-05-01,76,235,,91,31,01-May,257
MOUNT TIMOTHY,1C17,1660,2017-05-13,65,211,,117,32,15-May,181
MOUNT TIMOTHY,1C17,1660,2017-05-28,11,34,,65,31,01-Jun,52
MOUNT TIMOTHY,1C17,1660,2017-06-15,0,0,,0,,15-Jun,126
YANKS PEAK,1C41P,1670,2017-05-08,176,762,,,43,01-May,
CAVERHILL LAKE NEW,1C42,,2017-03-01,73,148,,,20,01-Mar,
CAVERHILL LAKE NEW,1C42,,2017-03-28,82,218,,,27,01-Apr,
TENQUILLE LAKE,1D06P,1680,2017-02-21,264,880,,,33,01-Mar,
STAVE LAKE,1D08,1250,2017-01-04,220,646,,112,29,01-Jan,578
STAVE LAKE,1D08,1250,2017-02-01,212,815,,93,38,01-Feb,881
STAVE LAKE,1D08,1250,2017-02-24,269,1030,,87,38,01-Mar,1178
STAVE LAKE,1D08,1250,2017-04-28,379,1918,,127,51,01-May,1513
WAHLEACH LAKE,1D09,1480,2017-01-04,102,250,,104,25,01-Jan,240
WAHLEACH LAKE,1D09,1480,2017-02-01,82,286,,79,35,01-Feb,364
WAHLEACH LAKE,1D09,1480,2017-02-24,105,368,,79,35,01-Mar,468
NAHATLATCH RIVER,1D10,1550,2017-01-04,155,438,,75,28,01-Jan,585
NAHATLATCH RIVER,1D10,1550,2017-02-01,193,765,,92,40,01-Feb,833
NAHATLATCH RIVER,1D10,1550,2017-02-24,230,939,,86,41,01-Mar,1092
NAHATLATCH RIVER,1D10,1550,2017-04-28,371,1739,,128,47,01-May,1361
DICKSON LAKE,1D16,1160,2017-01-04,263,806,,131,31,01-Jan,616
DICKSON LAKE,1D16,1160,2017-02-01,216,950,,103,44,01-Feb,918
DICKSON LAKE,1D16,1160,2017-02-24,281,1160,,98,41,01-Mar,1186
DICKSON LAKE,1D16,1160,2017-03-30,393,1626,,109,41,01-Apr,1497
SPUZZUM,1D19P,1180,2017-02-23,247,1010,,,41,01-Mar,
BLUE RIVER,1E01B,670,2016-12-31,80,122,,82,15,01-Jan,149
BLUE RIVER,1E01B,670,2017-01-26,72,202,,82,28,01-Feb,245
BLUE RIVER,1E01B,670,2017-02-23,80,278,,99,35,01-Mar,280
BLUE RIVER,1E01B,670,2017-03-31,82,290,,107,35,01-Apr,272
BLUE RIVER,1E01B,670,2017-04-24,38,146,,503,38,01-May,29
TROPHY MOUNTAIN,1E03A,1860,2017-02-24,134,418,,92,31,01-Mar,452
TROPHY MOUNTAIN,1E03A,1860,2017-04-01,196,590,,110,30,01-Apr,537
TROPHY MOUNTAIN,1E03A,1860,2017-04-25,195,664,,109,34,01-May,607
TROPHY MOUNTAIN,1E03A,1860,2017-05-09,183,730,,118,40,15-May,618
KNOUFF LAKE,1.00E+05,1200,2017-01-31,35,82,,75,23,01-Feb,109
KNOUFF LAKE,1.00E+05,1200,2017-02-27,45,124,,100,27,01-Mar,124
KNOUFF LAKE,1.00E+05,1200,2017-03-28,50,160,,119,32,01-Apr,134
ADAMS RIVER,1.00E+07,1720,2017-01-27,136,450,,98,33,01-Feb,457
ADAMS RIVER,1.00E+07,1720,2017-02-24,166,534,,95,32,01-Mar,560
ADAMS RIVER,1.00E+07,1720,2017-03-31,234,750,,111,32,01-Apr,673
ADAMS RIVER,1.00E+07,1720,2017-04-26,248,934,,129,38,01-May,726
ADAMS RIVER,1.00E+07,1720,2017-05-09,219,950,,138,43,15-May,690
ADAMS RIVER,1.00E+07,1720,2017-05-29,152,615,,114,40,01-Jun,540
ABERDEEN LAKE,1F01A,1310,2017-01-27,44,108,,101,25,01-Feb,107
ABERDEEN LAKE,1F01A,1310,2017-03-01,69,140,,105,20,01-Mar,133
ABERDEEN LAKE,1F01A,1310,2017-04-04,52,145,,117,28,01-Apr,124
ABERDEEN LAKE,1F01A,1310,2017-05-03,12,47,,247,40,01-May,19
MOUNT WELLS,1B01,1490,2017-01-31,128,364,,100,28,01-Feb,365
MOUNT WELLS,1B01,1490,2017-02-27,143,426,,94,30,01-Mar,452
MOUNT WELLS,1B01,1490,2017-03-31,157,525,,107,33,01-Apr,490
MOUNT WELLS,1B01,1490,2017-05-01,165,590,,121,36,01-May,487
MOUNT WELLS,1B01,1490,2017-05-31,63,261,,120,41,01-Jun,217
MOUNT WELLS,1B01P,1490,2017-01-04,119,322,,,27,01-Jan,
MOUNT WELLS,1B01P,1490,2017-01-31,138,408,,,30,01-Feb,
MOUNT WELLS,1B01P,1490,2017-02-27,155,462,,,30,01-Mar,
MOUNT WELLS,1B01P,1490,2017-03-31,171,535,,,31,01-Apr,
MOUNT WELLS,1B01P,1490,2017-05-01,176,625,,,36,01-May,
MOUNT WELLS,1B01P,1490,2017-05-30,83,335,,,40,01-Jun,
TAHTSA LAKE,1B02,1300,2017-01-30,276,875,,103,32,01-Feb,853
TAHTSA LAKE,1B02,1300,2017-02-27,253,961,,93,38,01-Mar,1034
TAHTSA LAKE,1B02,1300,2017-03-30,344,1239,,103,36,01-Apr,1202
TAHTSA LAKE,1B02,1300,2017-05-01,293,1265,,101,43,01-May,1256
TAHTSA LAKE,1B02,1300,2017-05-31,198,930,,95,47,01-Jun,982
TAHTSA LAKE,1B02P,1300,2017-01-04,227,692,U,,30,01-Jan,
TAHTSA LAKE,1B02P,1300,2017-01-30,267,801,,,30,01-Feb,
TAHTSA LAKE,1B02P,1300,2017-02-27,268,1038,,,39,01-Mar,
TAHTSA LAKE,1B02P,1300,2017-03-30,349,1285,,,37,01-Apr,
TAHTSA LAKE,1B02P,1300,2017-05-01,304,1298,,,43,01-May,
TAHTSA LAKE,1B02P,1300,2017-05-31,198,998,,,50,01-Jun,
SKINS LAKE,1B05,890,2017-01-03,29,48,,89,17,01-Jan,54
SKINS LAKE,1B05,890,2017-01-31,25,67,,81,27,01-Feb,83
SKINS LAKE,1B05,890,2017-02-27,26,75,,73,29,01-Mar,103
SKINS LAKE,1B05,890,2017-03-31,15,68,,76,45,01-Apr,90
SKINS LAKE,1B05,890,2017-05-01,0,0,,0,,01-May,3
SKINS LAKE,1B05,890,2017-05-31,0,0,,,,01-Jun,0
MOUNT SWANNELL,1B06,1620,2017-02-01,85,199,,94,23,01-Feb,211
MOUNT SWANNELL,1B06,1620,2017-02-27,93,222,,88,24,01-Mar,252
MOUNT SWANNELL,1B06,1620,2017-03-31,100,261,,93,26,01-Apr,282
MOUNT SWANNELL,1B06,1620,2017-05-01,100,312,,109,31,01-May,287
MOUNT SWANNELL,1B06,1620,2017-05-31,0,0,,0,,01-Jun,110
NUTLI LAKE,1B07,1490,2017-01-31,143,414,,110,29,01-Feb,378
NUTLI LAKE,1B07,1490,2017-02-27,153,483,,105,32,01-Mar,460
NUTLI LAKE,1B07,1490,2017-03-31,166,556,,107,33,01-Apr,518
NUTLI LAKE,1B07,1490,2017-05-01,150,579,,113,39,01-May,513
NUTLI LAKE,1B07,1490,2017-05-31,20,88,,37,44,01-Jun,241
MT. PONDOSY,1B08P,1400,2017-01-04,164,460,U,,28,01-Jan,
MT. PONDOSY,1B08P,1400,2017-01-31,199,638,,,32,01-Feb,
MT. PONDOSY,1B08P,1400,2017-02-27,194,638,,,33,01-Mar,
MT. PONDOSY,1B08P,1400,2017-03-31,243,862,,,35,01-Apr,
MT. PONDOSY,1B08P,1400,2017-05-01,220,918,,,42,01-May,
MT. PONDOSY,1B08P,1400,2017-05-31,97,508,,,52,01-Jun,
BROOKMERE,1C01,980,2017-02-28,73,174,,104,24,01-Mar,167
BROOKMERE,1C01,980,2017-03-30,64,182,,106,28,01-Apr,171
BROOKMERE,1C01,980,2017-04-30,31,99,,152,32,01-May,65
MCGILLIVRAY PASS,1C05,1725,2017-01-04,97,250,,91,26,01-Jan,274
MCGILLIVRAY PASS,1C05,1725,2017-01-30,121,346,,87,29,01-Feb,397
MCGILLIVRAY PASS,1C05,1725,2017-02-27,146,468,,95,32,01-Mar,492
MCGILLIVRAY PASS,1C05,1725,2017-03-30,176,566,,99,32,01-Apr,572
MCGILLIVRAY PASS,1C05,1725,2017-04-28,155,590,,103,38,01-May,573
PAVILION,1C06,1230,2017-03-02,25,70,,121,28,01-Mar,58
NAZKO,1C08,1070,2017-02-01,20,38,,67,19,01-Feb,57
NAZKO,1C08,1070,2017-02-28,22,45,,70,20,01-Mar,64
NAZKO,1C08,1070,2017-04-06,0,0,T,0,,01-Apr,46
